"Name","Company","State","City","Salary","Location","Url","Posted Date"
"Brand and Communications Specialist"," Delphi Technologies  ","MI","Troy","$51k-$70k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=133025&s=58&guid=000001672e48aaab8d5f846b1d96dc8a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_55723969&cb=1542669773729&jobListingId=3030271256","7 days ago"
"Team Lead"," Delphi Technologies  ","MI","Troy","$67k-$99k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=133025&s=58&guid=000001672e48aaab8d5f846b1d96dc8a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_cfbb1575&cb=1542669773731&jobListingId=2998330907","7 days ago"
"Production Team Leader"," Delphi Technologies  ","MI","Troy","$56k-$97k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=321255&s=58&guid=000001672e48aaab8d5f846b1d96dc8a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ee8a367d&cb=1542669773732&jobListingId=3029303639"," 5 days ago"
"Category Manager"," Delphi Technologies  ","MI","Troy","$79k-$121k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=321255&s=58&guid=000001672e48aaab8d5f846b1d96dc8a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7099f2ce&cb=1542669773734&jobListingId=3029306710"," 5 days ago"
"Master Data Specialist"," Delphi Technologies  ","MI","Troy","$42k-$67k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=133025&s=58&guid=000001672e48aaab8d5f846b1d96dc8a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_dbe39f2c&cb=1542669773737&jobListingId=3025985444"," 4 days ago"
"Associate Category Manager - Fuel"," Delphi Technologies  ","MI","Troy","$55k-$90k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=133025&s=58&guid=000001672e48aaab8d5f846b1d96dc8a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f2ab3dc6&cb=1542669773739&jobListingId=3030272138","7 days ago"
"Engineering Intern"," Delphi Technologies  ","MI","Troy","$52k-$74k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=321255&s=58&guid=000001672e48aaab8d5f846b1d96dc8a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_75ca7cd5&cb=1542669773740&jobListingId=3029312785"," 5 days ago"
"Finance Intern"," Delphi Technologies  ","MI","Troy","$50k-$76k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=133025&s=58&guid=000001672e48aaab8d5f846b1d96dc8a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4e90e4a0&cb=1542669773742&jobListingId=2954516489","7 days ago"
"Software Engineer"," Delphi Technologies  ","MI","Troy","$80k-$130k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=321255&s=58&guid=000001672e48aaab8d5f846b1d96dc8a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0ddc7632&cb=1542669773744&jobListingId=3029265505"," 5 days ago"
"Customer Service Representative"," Delphi Technologies  ","MI","Troy","$15-$19 per hour","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=321255&s=58&guid=000001672e48aaab8d5f846b1d96dc8a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c92f21fa&cb=1542669773746&jobListingId=3029301755"," 5 days ago"
