"Name","Company","State","City","Salary","Location","Url","Posted Date"
"Digital Service Implementation Specialist - HVAC / Energy Efficiency - Building Technologies - Austin, TX"," Siemens PLC  ","TX","Austin","$57k-$77k","Austin, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=344663&s=58&guid=000001672e48b28bb977f3c57822ba4b&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_fe903379&cb=1542669775711&jobListingId=3024382563"," 5 days ago"
"Quality Engineer"," Siemens PLC  ","TX","Grand Prairie","$55k-$113k","Grand Prairie, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=344663&s=58&guid=000001672e48b28bb977f3c57822ba4b&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d9c23417&cb=1542669775713&jobListingId=3018005018"," 11 days ago"
"Senior Field Operations Manager"," Siemens PLC  ","TX","Irving","$126k-$161k","Irving, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=344663&s=58&guid=000001672e48b28bb977f3c57822ba4b&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_79cca053&cb=1542669775714&jobListingId=2999959245","7 days ago"
"Director of Teamcenter Platform Development"," Siemens  ","TX","Milford","$90k-$151k","Milford, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=182759&s=58&guid=000001672e48b28bb977f3c57822ba4b&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f9c6161b&cb=1542669775715&jobListingId=3026764863"," 4 days ago"
"Sr Director of Finance-Any US Based Siemens"," Siemens PLC  ","TX","Austin","$135k-$174k","Austin, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=344663&s=58&guid=000001672e48b28bb977f3c57822ba4b&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_862cd29b&cb=1542669775716&jobListingId=3024104214"," 6 days ago"
"Regional Commodity Manager"," Siemens  ","TX","Plano","$63k-$96k","Plano, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=182759&s=58&guid=000001672e48b28bb977f3c57822ba4b&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_cfcffdcf&cb=1542669775718&jobListingId=3025409398"," 5 days ago"
"Project Manager - Buildng Automation Solutions - Austin TX"," Siemens  ","TX","Austin","$74k-$106k","Austin, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=182759&s=58&guid=000001672e48b28bb977f3c57822ba4b&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4e608ba5&cb=1542669775719&jobListingId=3025410998"," 5 days ago"
"Design Engineer I - Building Automation Systems"," Siemens  ","TX","Houston","$48k-$67k","Houston, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=182759&s=58&guid=000001672e48b28bb977f3c57822ba4b&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4c3e38de&cb=1542669775721&jobListingId=3025415862"," 5 days ago"
"Master Data Steward-SAP-TX"," Siemens PLC  ","TX","Houston","","Houston, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=344663&s=58&guid=000001672e48b28bb977f3c57822ba4b&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1ebe7ba1&cb=1542669775722&jobListingId=2940717905"," 11 days ago"
"Mentor Graphics/Siemens PLM Software"," Siemens PLC  ","TX","Plano","","Plano, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=344663&s=58&guid=000001672e48b28bb977f3c57822ba4b&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a5a71ecd&cb=1542669775724&jobListingId=3024104120"," 6 days ago"
