,Job_Title,Company,Salary,Location,URL,Days posted
0,EBIKE TECHNICAL PRODUCT SPECIALIST - Texas, Bosch Group  ,$46k-$79k,"Austin, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=180625&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d93efbe5&cb=1542669743134&jobListingId=3008384406, 19 days ago
1,"Information Security Manager IT in Manufacturing (m/w) - IT-Security, Projektmanagement, IT", BSH Bosch und Siemens Hausgeräte GmbH  ,80000,"Germany, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=416967&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_bd62d662&cb=1542669743136&jobListingId=3014785403, 14 days ago
2,"IT Infrastructure Architect in Manufacturing (m/w) - System Engineering / Admin, IT", BSH Bosch und Siemens Hausgeräte GmbH  ,80000,"Germany, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=416967&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_27a8df75&cb=1542669743137&jobListingId=3014785405, 14 days ago
3,Technical Author, Bosch  ,80000,"Plano, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=400784&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_ad05a8f0&cb=1542669743138&jobListingId=3024163530, 5 days ago
4,Junior Web Administrator, Bosch  ,80000,"Plano, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=400784&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5d4b9dee&cb=1542669743139&jobListingId=3024316070, 6 days ago
5,"Filler Operator, Bosch-CTA", Saputo Dairy Foods USA  ,80000,"Sulphur Springs, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4129&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c2e6cfa6&cb=1542669743141&jobListingId=2993531662, 6 days ago
6,Middag productiemedewerker PostNL in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=172489&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2c9a643c&cb=1542669743142&jobListingId=2994872849, 5 days ago
7,Site Leader - ADAS Development, Bosch Group  ,80000,"Austin, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=180625&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d82f9676&cb=1542669743143&jobListingId=3014909990, 14 days ago
8,Per direct chauffeurs gezocht voor PostNL in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=172489&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_58a1b435&cb=1542669743144&jobListingId=2796180041, 4 days ago
9,Flexibele koeriers gezocht in de avonden en/of op zaterdag in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=172489&s=58&guid=000001672e48332687e57ca29dc79957&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_291596e2&cb=1542669743146&jobListingId=2994895424, 5 days ago
